MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,.mzXML,algae,beverage_alcoholic,999628|Methyloversatilis universalis,2000,"blood draw, capillary",acetone-hydrochloric acid (99:1),1-O-hexadecyl-2-acetyl-snglycero-3-phosphocholine,1200 series LC/MSD SL|MS:1000467,atmospheric pressure chemical ionization (negative),2D:HILIC and reverse phase (C18),ML import: not available,ML import: not available,asexual,adipose tissue,Left,acute illness,acquired immunodeficiency syndrome,DOID:1596|DOID:635,ML import: not available,Afghanistan,Urban,not collected,not collected,,,Adolescence (8 yrs < x <= 18 yrs),UBERON:0002369,disease NOS
,.mzML,animal,beverage_nonalcoholic,999612|Psorospermum androsaemifolium,2001,"blood draw, venous",acetonitrile (100%),amitryptiline,1200 series LC/MSD VL|MS:1000478,atmospheric pressure chemical ionization (positive),gas chromatography (DB-5),not applicable,not applicable,female,adrenal gland,Middle,chronic illness,Alzheimer's disease,DOID:526|DOID:1596,not applicable,Albania,Rural,not applicable,not applicable,,,Early Adulthood (18 yrs < x <= 45 yrs),UBERON:0001353,DOID:0050338
,,archaea,biofluid,999599|Vismia guineensis,2002,blood NOS,acetonitrile-isopropanol-water (3:3:2),amitryptiline;fluconazole,2000 QTRAP|MS:1002577,atmospheric pressure photoionization (negative),mixed mode (Scherzo SM-C18),not collected,not collected,male,amniotic fluid,ML import: not available,healthy,Chagas disease,DOID:526|DOID:1596|DOID:635,not collected,Algeria,not collected,not specified,not specified,,,Early Childhood (2 yrs < x <=8 yrs),UBERON:0002427,DOID:0050589
,,beverage,blank_analysis,999598|Vismia guianensis,2003,dermaplane,acetonitrile-methanol (1:1),ampicillin,2500 QTRAP|MS:1002578,atmospheric pressure photoionization (positive),ML import: not available,not specified,not specified,ML import: not available,anal region,not applicable,ML import: not available,circadian rhythm disorders,DOID:526|DOID:635,not specified,Andorra,not applicable,ML import: not available,ML import: not available,,,Infancy (<2 yrs),UBERON:0015474,DOID:0080600
,,blank_analysis,blank_culturemedia,999597|Hypericum fauriei,2004,"extract, solid phase extraction (C18)",acetonitrile-methanol-water (2:2:1),biochanin A,3100|MS:1001786,electron ionization,normal phase (HILIC),,,not applicable,arm skin,not collected,not applicable,COVID-19,ML import: not available,,Angola,not specified,,,,,Later Adulthood (>65 yrs),UBERON:0001970,DOID:10652
,,blank_culturemedia,blank_extraction,999591|Psorospermum febrifugum,2005,feces,acetonitrile-water (7:3),cholic_acid-d4;lithocholic_acid-d4,3200 QTRAP|MS:1000651,electrospray ionization (alternating),not specified,,,not collected,axilla skin,not specified,not collected,Crohn's disease,no disease reported,,Antigua and Barbuda,ML import: not available,,,,,Middle Adulthood (45 yrs < x <= 65 yrs),UBERON:0018707,DOID:10763
,,blank_extraction,blank_QC,999590|Psorospermum corymbiferum,2006,hollow fiber-liquid phase microextraction,butanol (100%),cocaine;cocaine-d3,3500 QTRAP|MS:1002579,electrospray ionization (negative),reverse phase (C18),,,not specified,bile,Right,not specified,cystic fibrosis,not applicable,,Argentina,,,,,,not applicable,UBERON:0000178,DOID:10808
,,blank_QC,clothing,999584|Mammea africana,2007,"in vivo, head space solid phase microextraction",chloroform-methanol (1:2),cocaine-d3,4000 QTRAP|MS:1000139,electrospray ionization (positive),reverse phase (C30),,,,bladder organ,,unhealthy (NOS),dental caries,not specified,,Armenia,,,,,,not collected,UBERON:0001969,DOID:12140
,,built_environment,commercial_building,999576|Hypericum grandifolium,2008,liquid,chloroform-methanol-water (1:3:1),coumarin-314,4000 QTRAP|MS:1000870,ML import: not available,reverse phase (C8),,,,blood,,,diabetes mellitus,,,Aruba,,,,,,not specified,UBERON:0001977,DOID:12155
,,culture_bacterial,computer,999574|Hypericum ellipticum,2009,"liquid, solid phase extraction (ABN)",dichloromethane-methanol (1:1),decahydroquinoline,4700 Proteomics Analyzer|MS:1000140,not specified,reverse phase (NOS),,,,blood plasma,,,disease NOS,,,Australia,,,,,,ML import: not available,UBERON:0000955,DOID:13378
