MWB,REDU
"Reversed phase|Waters Acquity BEH C18 (50 x 2.1mm, 1.7um)",reverse phase (C18)
"Reversed phase|Waters XBridge C18 (50 x 2.1mm, 3um)",reverse phase (C18)
GC|Zebron Z-guard guard column GC Cap 5m x 0.1mm,gas chromatography (DB-5)
"Reversed phase|Waters Acquity BEH HSS T3 (100 x 2.1mm, 1.8um)",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C18 (100 x 2mm, 1.7um)",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C8 (100 x 2.1mm, 1.7um)",reverse phase (C8)
"Reversed phase|Waters Atlantis dC18 (3x100 mm, 3 µm)",reverse phase (C18)
"Reversed phase|Waters Acquity HSS T3 (50 x 2.1mm, 1.8um)",reverse phase (C18)
"GC|Agilent HP5-MS (30m Ã— 0.25mm, 0.25 um)",gas chromatography (DB-5)
"Reversed phase|ACQUITY UPLC HSS T3 column (2.1 mm i.d. × 100 mm, 1.8 ?m; Waters)",reverse phase (C18)
"Reversed phase|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um) Pre-Column",reverse phase (C18)
"HILIC|Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",normal phase (HILIC)
"Reversed phase|Agilent Zorbax RRHD SB-C18 (100 x 2.1mm, 1.8um)",reverse phase (C18)
"Reversed phase|Sigma Aldrich, Supleco, C8, 100 x 2.1 mm; 2.7 µm",reverse phase (C8)
GC|-,gas chromatography (DB-5)
"GC|Restek Rtx-5Sil MS (30 x 0.25mm, 0.25um)",gas chromatography (DB-5)
"Reversed phase|Waters Acquity HSS T3 (100 x 2.1mm, 1.8um)",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C18 (50 x 2.1mm, 1.7 um)",reverse phase (C18)
"Reversed phase|Waters Xbridge BEH C18 XP (100 x 2.1mm, 2.5um) Millford, MA, USA)",reverse phase (C18)
"GC|Agilent DB5-MS (30m Ã— 0.25mm, 0.25um)",gas chromatography (DB-5)
"HILIC|SeQuant ZIC- pHILIC (150 x 2.1mm, 5um)",normal phase (HILIC)
"Reversed phase|ACQUITY BEH C18 column (Waters; Milford, MA)",reverse phase (C18)
HILIC|SeQuant ZIC-pHILIC,normal phase (HILIC)
"HILIC|Phenomenex Luna NH2 (150 x 1mm, 3um)",normal phase (HILIC)
"Reversed phase|Waters Acquity BEH C18 (150 x 2.1mm, 1.7um) (Milford, MA, USA)",reverse phase (C18)
"HILIC|EMD Millipore ZIC-HILIC (100 x 2.1 mm, 3.5 um)",normal phase (HILIC)
"Reversed phase|Thermo Accucore C18 (100 2.1mm, 2.6um)",reverse phase (C18)
"HILIC|Waters Acquity HSS C18 (150 x 2.1mm, 1.8um)",normal phase (HILIC)
Reversed phase|Acquity BEH C18,reverse phase (C18)
"HILIC|ZIC-pHILIC, Merck",normal phase (HILIC)
HILIC|Waters XBridge BEH Amide XP,normal phase (HILIC)
"CSH|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um) 1.7um Pre-Column",reverse phase (C18)
Reversed phase|Thermo Hypergod C18 (100 Ã— 4.6 mm 3 Âµm),reverse phase (C18)
"GC|Agilent DB5-MS (30m x 0.25mm, 0.25um)",gas chromatography (DB-5)
Reversed phase|Prevail C18,reverse phase (C18)
"Reversed phase|Higgins C18 100x2.1mm, 5um",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C18 (150 x 2.1mm, 1.7um)",reverse phase (C18)
"Reversed phase|Agilent Zorbax Eclipse Plus C18 (50 x 2.1mm, 1.8 um) size)",reverse phase (C18)
"HILIC|Waters XBridge Amide (100 x 4.6mm, 3.5um)",normal phase (HILIC)
"Reversed phase|Phenomenex Kinetex C18 (150 x 2.1mm, 2.6 um)",reverse phase (C18)
"Reversed phase|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um) 1.7um Pre-Column",reverse phase (C18)
"Reversed phase|Waters Acquity HSS T3 (100 x 2.1mm, 1.8um) T3 guard column",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C18 (150 x 2mm, 1.7um)",reverse phase (C18)
"HILIC|Phenomenex Luna NH2, 1mm ID",normal phase (HILIC)
GC|ACQUITY UPLC 1.7 Âµm column,gas chromatography (DB-5)
"HILIC|Waters Atlantis HILIC 100Ã… (100 x 2.1mm, 3um)",normal phase (HILIC)
"GC|SGE 0.15 mm i.d. x 50 m fused silica open-tubular column, coated with 0.25 Âµm BPX-5 (5% phenylmethyl- phenylsiloxane) BPX-5 (5% phenylmethyl- phenylsiloxane)",gas chromatography (DB-5)
"GC|Agilent HP5-MS (30m x 0.25mm, 0.25 um)",gas chromatography (DB-5)
