MWB,REDU
amitryptiline,amitryptiline
amitryptiline;fluconazole,amitryptiline;fluconazole
ampicillin,ampicillin
biochanin A,biochanin A
cholic_acid-d4;lithocholic_acid-d4,cholic_acid-d4;lithocholic_acid-d4
cocaine;cocaine-d3,cocaine;cocaine-d3
cocaine-d3,cocaine-d3
coumarin-314,coumarin-314
decahydroquinoline,decahydroquinoline
fluconazole,fluconazole
ML import: not available,ML import: not available
none,none
not specified,not specified
ribitol,ribitol
sulfachloropyridazine,sulfachloropyridazine
Sulfadimethoxine,sulfadimethoxine
sulfadimethoxine,sulfadimethoxine
sulfadimethoxine;sulfachloropyridazine,sulfadimethoxine;sulfachloropyridazine
sulfamethazine,sulfamethazine
sulfamethazine;sulfadimethoxine,sulfamethazine;sulfadimethoxine
sulfamethizole,sulfamethizole
sulfamethizole;sulfachloropyridazine,sulfamethizole;sulfachloropyridazine
sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline,sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline
