MWB,REDU
100032|Keissleriella,100032|Keissleriella
1000415|Amelanchier ovalis,1000415|Amelanchier ovalis
1000417|Centaurea uniflora,1000417|Centaurea uniflora
1000418|Galeopsis tetrahit,1000418|Galeopsis tetrahit
1000420|Linum alpinum,1000420|Linum alpinum
1000421|Nepeta nepetella,1000421|Nepeta nepetella
1000423|Pedicularis ascendens,1000423|Pedicularis ascendens
1000425|Pimpinella major,1000425|Pimpinella major
1000427|Sorbus chamaemespilus,1000427|Sorbus chamaemespilus
1000430|Teucrium montanum,1000430|Teucrium montanum
1000433|Verbascum lychnitis,1000433|Verbascum lychnitis
100051|Delitschia,100051|Delitschia
100052|Delitschia winteri,100052|Delitschia winteri
1001064|Rhodotorula toruloides,1001064|Rhodotorula toruloides
100117|Picea breweriana,100117|Picea breweriana
100127|Euplotidae,100127|Euplotidae
100136|Leptolobium panamense,100136|Leptolobium panamense
100137|Aeschynomene fascicularis,100137|Aeschynomene fascicularis
100146|Galactia striata,100146|Galactia striata
100149|Indigofera suffruticosa,100149|Indigofera suffruticosa
100152|Millettia leptobotrya,100152|Millettia leptobotrya
100153|Myrospermum frutescens,100153|Myrospermum frutescens
1001545|Ipomoea sloteri,1001545|Ipomoea sloteri
1001548|Sternbergia clusiana,1001548|Sternbergia clusiana
100159|Ornithopus,100159|Ornithopus
100167|Psoralea,100167|Psoralea
100169|Pterocarpus,100169|Pterocarpus
100170|Pterocarpus indicus,100170|Pterocarpus indicus
100171|Swartzia simplex,100171|Swartzia simplex
1001993|Tritirachium,1001993|Tritirachium
100213|Apalone ferox,100213|Apalone ferox
100226|Streptomyces coelicolor,100226|Streptomyces coelicolor
1002366|Listeria innocua,1002366|Listeria innocua
1002525|Pellionia scabra,1002525|Pellionia scabra
10026|Cricetinae,10026|Cricetinae
1002748|Ploceidae,1002748|Ploceidae
1002809|Solibacillus silvestris,1002809|Solibacillus silvestris
100285|Carex parva,100285|Carex parva
1002891|Caerulea,1002891|Caerulea
10029|Cricetulus griseus,10029|Cricetulus griseus
100310|Lithophragma bolanderi,100310|Lithophragma bolanderi
100313|Lithophragma glabrum,100313|Lithophragma glabrum
1003142|Triceratium dubium,1003142|Triceratium dubium
100319|Mitella acerina,100319|Mitella acerina
1003195|Streptomyces cattleya,1003195|Streptomyces cattleya
100320|Mitella furusei,100320|Mitella furusei
100321|Mitella japonica,100321|Mitella japonica
100322|Mitella pauciflora,100322|Mitella pauciflora
1003260|Lophophytum,1003260|Lophophytum
10036|Mesocricetus auratus,10036|Mesocricetus auratus
100364|Elodea canadensis,100364|Elodea canadensis
100365|Orobanche amethystea,100365|Orobanche amethystea
100366|Orobanche loricata,100366|Orobanche loricata
1003748|Lactoria fornasini,1003748|Lactoria fornasini
1003843|Halcyon smyrnensis,1003843|Halcyon smyrnensis
1003845|Vanellus indicus,1003845|Vanellus indicus
1003999|Coleonema album,1003999|Coleonema album
1004|Chitinophaga sancti,1004|Chitinophaga sancti
1004000|Elaeodendron croceum,1004000|Elaeodendron croceum
1004002|Salix atrocinerea,1004002|Salix atrocinerea
1004064|Ceanothus integerrimus integerrimus,1004064|Ceanothus integerrimus integerrimus
1004388|Caulerpa obscura,1004388|Caulerpa obscura
1004509|Amanita onusta,1004509|Amanita onusta
1004520|Amanita smithiana,1004520|Amanita smithiana
1004526|Amanita wellsii,1004526|Amanita wellsii
100460|Bazzania fauriana,100460|Bazzania fauriana
100465|Antitrichia curtipendula,100465|Antitrichia curtipendula
100467|Thuidium cymbifolium,100467|Thuidium cymbifolium
100479|Aphis nerii,100479|Aphis nerii
100493|Reineckea,100493|Reineckea
100494|Reineckea carnea,100494|Reineckea carnea
100495|Rohdea,100495|Rohdea
100496|Rohdea japonica,100496|Rohdea japonica
100497|Tupistra,100497|Tupistra
100502|Ophiopogon,100502|Ophiopogon
100504|Ophiopogon intermedius,100504|Ophiopogon intermedius
1005048|Collimonas fungivorans,1005048|Collimonas fungivorans
100505|Ophiopogon jaburan,100505|Ophiopogon jaburan
1005053|Orchidaceae,1005053|Orchidaceae
100506|Ophiopogon japonicus,100506|Ophiopogon japonicus
1005091|Agaricus bisporus,1005091|Agaricus bisporus
100510|Ophiopogon planiscapus,100510|Ophiopogon planiscapus
100514|Asparagus cochinchinensis,100514|Asparagus cochinchinensis
100515|Asparagus filicinus,100515|Asparagus filicinus
100521|Liriope spicata,100521|Liriope spicata
100530|Chlorophytum laxum,100530|Chlorophytum laxum
100531|Dracaena angustifolia,100531|Dracaena angustifolia
100532|Dracaena draco,100532|Dracaena draco
100541|Ficus auriculata,100541|Ficus auriculata
1005443|Escherichia coli,1005443|Escherichia coli
100555|Ficus insipida,100555|Ficus insipida
100557|Ficus maxima,100557|Ficus maxima
1005655|Xylopia aromatica,1005655|Xylopia aromatica
1005658|Xylopia emarginata,1005658|Xylopia emarginata
1005672|Bellardia,1005672|Bellardia
100569|Ficus racemosa,100569|Ficus racemosa
100573|Ficus septica,100573|Ficus septica
100574|Ficus superba,100574|Ficus superba
1005745|Senecio candidans,1005745|Senecio candidans
1005746|Senecio trifurcatus,1005746|Senecio trifurcatus
100579|Ficus variegata,100579|Ficus variegata
1005976|Egernia kingii,1005976|Egernia kingii
1005977|Egernia depressa,1005977|Egernia depressa
10060|Ondatra zibethicus,10060|Ondatra zibethicus
100602|Trichobilharzia ocellata,100602|Trichobilharzia ocellata
1006065|Haplophyllum alberti-regelii,1006065|Haplophyllum alberti-regelii
1006069|Haplophyllum bucharicum,1006069|Haplophyllum bucharicum
1006070|Haplophyllum cappadocicum,1006070|Haplophyllum cappadocicum
