MWB,REDU
"(step 1) 3:3:2 Acetonitrile:Isopropanol:H2O, (step 2) 1:1 Acetonitrile:H2O",acetonitrile-isopropanol-water (3:3:2)
"1 mL of cold, degassed extraction solvent (3:3:2 acetonitrile:isopropanol:water was added to each sample, vortexed for 10 seconds, then shaken at 4C for 4 min. were spun down using a centrifuge at 14 rcf for 2 min. Aliquots (450 uL) were to 1.5 mL eppendorf tubes and dried down using a Labconco centrivap evaporator.",acetonitrile-isopropanol-water (3:3:2)
1:1 MeOH/H20,methanol-water (1:1)
1:1 Methanol: Water,methanol-water (1:1)
1:2 sample:acetonitrile,acetonitrile (100%)
2:1 acetonitrile: sample followed by vortexing and centrifugation,acetonitrile (100%)
2:1 addition of acetonitrile,acetonitrile (100%)
3:3:2 Acetonitrile/Isopropanol/Water,acetonitrile-isopropanol-water (3:3:2)
4:1 Methanol:Water,methanol-water (4:1)
50% ice-cold methanol,methanol-water (1:1)
50% methanol,methanol-water (1:1)
50% Methanol in water,methanol-water (1:1)
50:50 Acetonitrile:Water,methanol-water (1:1)
70% acetonitrile,acetonitrile-water (7:3)
90% methanol extraction,methanol-water (9:1)
90% Methanol Lysis,methanol-water (9:1)
Acetonitrile,acetonitrile (100%)
Acetonitrile:Isopropanol: water(3:3:2 v/v),acetonitrile-isopropanol-water (3:3:2)
Boiling ethanol (95°C),ethanol-water (19:1)
chloroform/methanol/water (1:3:1 v/v),chloroform-methanol-water (1:3:1)
cold 2:1 dichloromethane: methanol vortex extraction,dichloromethane-methanol (2:1)
Cold Methanol with Internal Standard,methanol (100%)
Ethanol extraction,ethanol (100%)
Ethanol precipitation,ethanol (100%)
"Following lysis and standard addition, protein precipitation was performed by adding 800µL of ice-cold methanol (4x by volume). Samples were incubated at -80°C overnight. Following incubation, samples were centrifuged at 10,000 rpm for 10 min to eliminate proteins. The supernatants containing metabolites were dried via speed-vacuum.",methanol (100%)
"For LCMS analysis lyophilized fecal sample was extracted with 80% Methanol containg 18 µg/ml of umbelliferon, sonicated and vortexed 20 seconds each, shaken at 140 rpmfor 2 h. For GCMS-polar analysis samples were extracted with water, containing 25 ?g/ml ribitol, vortex for 20 seconds, sonicated for 20 seconds, incubated at 50C for 1h. For GCMS-nonpolar samples were extracted with chloroform, containing 10 ?l/ml docosanol, vortex for 20 seconds, sonicated for 20 second, incubated at 50C for 1h.",methanol-water (4:1)
