ML,MassSpectrometer
AB SCIEX QTRAP 3200,3200 QTRAP|MS:1000651
AB SCIEX QTRAP 4000,4000 QTRAP|MS:1000870
AB SCIEX 4800 Plus MALDI TOF/TOF,4800 Plus MALDI TOF/TOF|MS:1000652
Agilent 6224 Accurate-Mass TOF,6224 Time-of-Flight LC/MS|MS:1002796
Agilent 6230 Accurate-Mass TOF,6230A Time-of-Flight LC/MS|MS:1002797
Agilent 6410 Triple Quadrupole,6410 Triple Quadrupole LC/MS|MS:1000477
Agilent 6430 Triple Quadrupole,6430 Triple Quadrupole LC/MS|MS:1002799
Agilent 6470 Triple Quadrupole,6470A Triple Quadrupole LC/MS|MS:1000935
Agilent 6490 Triple Quadrupole,6490 Triple Quadrupole LC/MS|MS:1002446
Agilent 6495 Triple Quadrupole,6495A Triple Quadrupole LC/MS|MS:1002800
Agilent 6495A Triple Quadrupole,6495A Triple Quadrupole LC/MS|MS:1002800
Agilent 6460 Triple Quadrupole,6520A Quadrupole Time-of-Flight LC/MS|MS:1000677
Agilent 6520 Q-TOF,6520A Quadrupole Time-of-Flight LC/MS|MS:1000677
Agilent 6520A Q-TOF,6520A Quadrupole Time-of-Flight LC/MS|MS:1000677
Agilent 6530 Accurate-Mass Q-TOF,6530A Q-TOF LC/MS|MS:1002786
Agilent 6530A Accurate-Mass Q-TOF,6530A Q-TOF LC/MS|MS:1002786
Agilent 6538 Accurate-Mass Q-TOF,6538 Q-TOF LC/MS|MS:1002788
Agilent 6540 Q-TOF,6540 Q-TOF LC/MS|MS:1002789
Agilent 6550 iFunnel Q-TOF,6550 iFunnel Q-TOF LC/MS|MS:1002783
Agilent qTOF 6550A,6550A iFunnel Q-TOF LC/MS|MS:1002784
Agilent 6560 Ion Mobility Q-TOF,6560 Q-TOF LC/MS|MS:1002792
Agilent 6560 Ion Mobility QTOF MS,6560 Q-TOF LC/MS|MS:1002792
Agilent 7000B Triple Quadrupole,7000B Triple Quadrupole GC/MS|MS:1002803
Waters ACQUITY TQD,Acquity TQD|MS:1001788
Agilent 6545 Q-TOF,ACQUITY UPLC|MS:1001761
Waters ACQUITY UPLC system,ACQUITY UPLC|MS:1001761
Bruker CaptiveSpray nanoBooster and amaZon speed,amaZon Speed|MS:1002301
AB SCIEX API 2000,API 2000|MS:1000145
AB SCIEX API 4000,API 4000|MS:1000147
Bruker compact,compact|MS:1002280
Thermo Scientific DSQ II,DSQ II|MS:1000641
Bruker Esquire 6000,esquire 6000|MS:1000157
