USI,negative_polarity_count,positive_polarity_count
mzspec:ST002251:20200715_FIT01_OpenAccess/20200715_011_FIT01-160-pos.mzML,0,4637
mzspec:ST002132:L8.mzML,0,3848
mzspec:ST002320:HaffnerEtAl_2022_MS_Data/11TM.mzXML,0,5912
mzspec:ST002291:ID_199.mzXML,0,2605
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18neg/HRE_HFX_20200923_HRE0010_170.mzXML,1736,0
"mzspec:ST000259:exo/A_L3e_exoLB_n_1-d,2_01_19278.d/L3A5_exoLB_n.mzXML",4277,0
mzspec:ST002838:mzML output/Sec62-Hex-WC-5_NonDerPos.mzML,0,143
mzspec:ST001794:GItube_RawData_CSHpos_Sa_18.mzML,0,8556
mzspec:ST002331:VT_181026_M338_078.mzXML,1143,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130909_043.mzXML,0,2245
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch2_RPN_04262018_mzXMLFiles/MS1/sample/GD_063_18S005UR0101A02_RPN_B2.mzXML,1877,0
mzspec:ST002161:MyData/CON-PV_15_12108.mzXML,3567,0
mzspec:ST002331:VT_181109_M338_211.mzXML,0,1143
"mzspec:ST000258:ST000258/endo/A_M1c_endo_n_1-c,3_01_18906.d/M1_A3_endo_n.mzXML",4277,0
mzspec:ST002331:VT_181130_M338_072.mzXML,1143,0
mzspec:ST002858:DS1-123_28Aug2023_Pluchino Perruzzotti Serum Lipidomics Neg/DS1-123-059-neg_lipidomicsSerum.mzXML,1655,0
mzspec:ST002008:mzXMLs_neg/200605_Poo_TruePooGBT_Full5.mzXML,1380,0
mzspec:ST001430:mzXML_data/370.POS.mzXML,0,3196
mzspec:ST001882:COP_03_191123180230.mzML,1220,0
mzspec:ST002465:mouse/2019_08_06KB_HILICNeg15_uri_sdm_8_F1.mzXML,1390,0
mzspec:ST002993:MyData/GCMS_MzxMl/C2249_GC.mzXML,0,5020
mzspec:ST001200:chear_2017_1762_mzXML/VT_190124_M371_309.mzXML,0,1143
mzspec:ST002024:AcCoA_Mito_Workbench/20191107-BKE2_glucose-3.mzXML,2342,0
mzspec:ST001748:trps_Exp1_17_Therapy.mzXML,0,4569
mzspec:ST002331:VT_181026_M338_230.mzXML,1143,0
mzspec:ST002429:OilPalm_Salt_15_07DAT_R4_NEG.mzXML,3631,0
mzspec:ST002332:VT_181031_M338_227.mzXML,0,1143
mzspec:ST002332:VT_181130_M338_158.mzXML,1143,0
mzspec:ST002813:tissues_polar/GWAT6.mzXML,584,0
mzspec:ST001799:NIST1957recovery/NIST1957_M419-15_2.mzXML,0,9422
mzspec:ST002840:AJS_Mn_Experiment_replicate1/Yc_Mn_Lys1_NEG.mzML,2030,0
mzspec:ST001200:chear_2017_1762_mzXML/VT_190123_M371_273.mzXML,0,1143
mzspec:ST002161:MyData/Ms3_T15.mzXML,3589,0
mzspec:ST002858:DS1-123_28Aug2023_Pluchino Perruzzotti Serum Lipidomics Oxylipin/DS1-123-110-neg_oxylipinsSerum.mzXML,1134,0
mzspec:ST001430:mzXML_data/644.POS.mzXML,0,3194
mzspec:ST002159:HILIC_QE_positive/170821_Smp_1314P_C.mzXML,0,1500
mzspec:ST002174:raw files/S16180.mzXML,1788,1981
mzspec:ST000909:mzXML/VT_171031_M314_088.mzXML,1142,0
mzspec:ST001654:Peromyscus_Study/Peromyscus_22281_LPS_Plasma.mzML,0,3224
mzspec:ST002764:CSHPOS/Petrick022_MX437720_posCSH_BPL1415-0512-022_2BU.mzML,0,1683
mzspec:ST002795:NEG-Root-Salvia sclarea var turkestanica 'Vatican Pink'-2.mzML,3163,0
mzspec:ST002007:EM5-3.mzML,2308,0
mzspec:ST002195:MyData/11_sp_male_8w_pos.mzML,0,107
mzspec:ST002494:0012_GC_20181206_0141.mzML,0,5660
mzspec:ST002505:workbench/PLC-WT-1_NEG-PLC-WT-1.mzXML,8419,0
mzspec:ST002291:ID_190.mzXML,0,2655
mzspec:ST002332:VT_181023_M338_087.mzXML,0,1143
mzspec:ST002465:mouse/2019_08_06KB_HILICNeg15_ser_sdm_3_F3.mzXML,1390,0
mzspec:ST002414:CX_L-ON_18_dpi_B3_N_3.mzXML,7636,0
mzspec:ST002465:mouse/2019_08_06KB_HILICNeg15_liv_sdm_3_F2.mzXML,1390,0
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch1_04192018_RP_mzXML_Files/MS1/sample/GD_041_18S005UR0017A02_RPN_B1.mzXML,1877,0
mzspec:ST001493:DynamicBinning/IS1-8/PlasmaIS1-8_42.mzML,0,8930
mzspec:ST002332:VT_181022_M338_235.mzXML,0,1143
mzspec:ST002764:CSHPOS/PoolQC016_MX437720_posCSH_postPetrick150.mzML,0,1683
mzspec:ST002382:Split injection mzXML/CG_754_UNK-0048_21062019_46.mzXML,0,199083
mzspec:ST002332:VT_181029_M338_171.mzXML,0,1143
mzspec:ST001799:NIST1957recovery/NIST1957_M419-11_3.mzXML,0,9430
mzspec:ST002331:VT_181026_M338_017.mzXML,0,1143
mzspec:ST002587:MyData/32_A2_C13_GLN_2_151122_01.mzXML,0,3538
mzspec:ST001926:Neg-FLY-165.mzXML,1864,0
mzspec:ST002332:VT_181031_M338_160.mzXML,1143,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130917_013.mzXML,0,2245
mzspec:ST002332:VT_181103_M338_055.mzXML,0,1143
mzspec:ST002466:13C-MFA_Synechococcus elongatus PCC 11801 and 11802_mzML/11802/Biological Replicate 2_11802/PCC11802 120 SEC SWATH1-1 BR2.mzML,1,0
mzspec:ST002561:Zebrafish epalrestat experiments/MCF001395_wt1_ep40.mzML,3763,0
mzspec:ST002993:MyData/GCMS_MzxMl/M637_GC.mzXML,0,5020
mzspec:ST000909:mzXML/VT_171031_M314_172.mzXML,1142,0
mzspec:ST002414:CX_L-ON_Naive_A1_P_3.mzXML,0,14437
mzspec:ST001801:mzXML_batch3to5/BL_200220_M393_199.mzXML,0,9326
mzspec:ST001715:Isotretinon_0_2_hilicpos_fusion.mzXML,0,4739
mzspec:ST002813:tissues_polar/col005j1_B_10.mzXML,1579,0
mzspec:ST001132:Negative control6.mzXML,0,599
mzspec:ST002238:40_post_NB_Plasma_Quant_C18_Neg_127.mzML,4831,0
mzspec:ST000909:mzXML/VT_171028_M314_067.mzXML,0,1143
mzspec:ST001200:chear_2017_1762_mzXML/VT_190122_M371_030.mzXML,1143,0
mzspec:ST001849:renamed_mzMLs/B3_WU350-096_d3_polar_neg.mzML,1318,0
mzspec:ST001849:renamed_mzMLs/B7_WU350-296_d0_lipid_neg.mzML,3250,0
mzspec:ST001200:chear_2017_1762_mzXML/VT_190127_M371_138.mzXML,1143,0
mzspec:ST002332:VT_181203_M338_103.mzXML,0,1141
mzspec:ST001918:Walker_Benzene_MWAS_mzXML_Files_V2/VT_170728_M021_275.mzXML,0,1144
mzspec:ST002764:CSHNEG/Petrick270_MX437720_negCSH_BPL1415-0760-270.mzML,1675,0
mzspec:ST002432:IIV_Metformin/YW_20201206_229.mzML,0,778
mzspec:ST002051:Tz_Bz_Comp/0427_NP_Cysten_T1_2.mzML,13948,0
mzspec:ST002341:SW620_neg_08.mzML,13738,0
mzspec:ST001430:mzXML_data/440.POS.mzXML,0,3208
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18neg/HRE_HFX_20200929_HRE0010_080.mzXML,1736,0
